user_id,text_right,text_wrong,text_accuracy,audio_right,audio_wrong,audio_accuracy
1KznrIROVcQisRpGQw0kRF79lEW2,3,0,1.0,3,0,1.0
2et8mPBfSobMEflsrjHPlpbBRVl1,6,0,1.0,2,0,1.0
2jx38lBdkJZAffOTjapIJUOkcmT2,0,0,,0,0,
3SZBa8bz71cc3n0GqPIe0Cp5EC13,4,1,0.8,0,5,0.0
40MiKvCaZTeYzMFw2W7zAAPoK013,3,2,0.6,2,0,1.0
7fRvTWeoKDPE5ZqfcBwpWY3qwpl1,5,0,1.0,3,2,0.6
D17ojtCGztVxasDNXMBYujIEp6T2,3,2,0.6,3,1,0.75
I95XongADMhnGoykzUkcFxfx2Zg1,0,0,,0,0,
IiqIEVS8DYYdRwtxEKdYXTTdrb32,4,0,1.0,2,2,0.5
Nvk4S0IpxPdddgBF499DwZz6FEh1,4,1,0.8,3,1,0.75
UZCUMnascqMVCb7HjYKoo8GshmU2,4,1,0.8,0,0,
dwtLwhIgAyQAfqgq6BGgRYDqwdi2,4,1,0.8,5,0,1.0
gc6iaZKC2uO6zKYvXL36lgPsQWL2,5,0,1.0,0,0,
hXKCWwzPgWQ17gIEU9nKwtLaZx73,5,0,1.0,5,0,1.0
kzHpKFHMcPPnV8KAKZX4skbzRlM2,5,0,1.0,0,0,
uUx5MPncXHXkLDXkejpBQMgnhIS2,2,2,0.5,2,0,1.0
y3oJxKfl3sdDTMEk9Gq64OtQRaF3,4,1,0.8,1,3,0.25
yWVzDzDXQwWys4aHbPKJV2Oadwy2,4,1,0.8,3,2,0.6
yskSrWOMY1dMfleJ1demTFRwmaB3,0,0,,0,0,
